Set,loss_func,Node,LR,Activation,loss_Func,
2,0.467888057,10,0.001,relu,mae,v
4,0.459415674,10,0.001,sigmoid,mae,v
6,0.457524896,10,0.001,tanh,mae,v
8,0.453632444,10,0.01,relu,mae,v
10,0.462500304,10,0.01,sigmoid,mae,v
14,0.458184123,9,0.001,relu,mae,v
50,0.462585539,6,0.001,relu,mae,v
74,0.470911801,4,0.001,relu,mae,v
80,0.469674408,4,0.01,relu,mae,v
1,0.355550587,10,0.001,relu,mse,
3,0.477236748,10,0.001,sigmoid,mse,
5,0.430312008,10,0.001,tanh,mse,
7,0.35190782,10,0.01,relu,mse,
9,0.475767672,10,0.01,sigmoid,mse,
11,0.476603478,10,0.01,tanh,mse,
12,0.460478634,10,0.01,tanh,mae,
13,0.357540995,9,0.001,relu,mse,
15,0.484964401,9,0.001,sigmoid,mse,
16,0.463926733,9,0.001,sigmoid,mae,
17,0.484449536,9,0.001,tanh,mse,
18,0.462250292,9,0.001,tanh,mae,
19,0.375267953,9,0.01,relu,mse,
20,0.453982592,9,0.01,relu,mae,
21,0.484911621,9,0.01,sigmoid,mse,
22,0.466576397,9,0.01,sigmoid,mae,
23,0.438217193,9,0.01,tanh,mse,
24,0.465614825,9,0.01,tanh,mae,
25,0.354754806,8,0.001,relu,mse,
26,0.455603033,8,0.001,relu,mae,
27,0.458335191,8,0.001,sigmoid,mse,
28,0.466011494,8,0.001,sigmoid,mae,
29,0.49432382,8,0.001,tanh,mse,
30,0.465685338,8,0.001,tanh,mae,
31,0.347830743,8,0.01,relu,mse,
32,0.458257169,8,0.01,relu,mae,
33,0.493978739,8,0.01,sigmoid,mse,
34,0.468199015,8,0.01,sigmoid,mae,
35,0.447756916,8,0.01,tanh,mse,
36,0.462905794,8,0.01,tanh,mae,
37,0.358999014,7,0.001,relu,mse,
38,0.460354537,7,0.001,relu,mae,
39,0.505650103,7,0.001,sigmoid,mse,
40,0.481072128,7,0.001,sigmoid,mae,
41,0.505265594,7,0.001,tanh,mse,
42,0.467738837,7,0.001,tanh,mae,
43,0.360746026,7,0.01,relu,mse,
44,0.458045602,7,0.01,relu,mae,
45,0.505179942,7,0.01,sigmoid,mse,
46,0.468872458,7,0.01,sigmoid,mae,
47,0.505064726,7,0.01,tanh,mse,
48,0.465358168,7,0.01,tanh,mae,
49,0.378522873,6,0.001,relu,mse,
51,0.520567656,6,0.001,sigmoid,mse,
52,0.470205188,6,0.001,sigmoid,mae,
53,0.518808603,6,0.001,tanh,mse,
54,0.478497267,6,0.001,tanh,mae,
55,0.360856712,6,0.01,relu,mse,
56,0.462958574,6,0.01,relu,mae,
57,0.520721495,6,0.01,sigmoid,mse,
58,0.470303386,6,0.01,sigmoid,mae,
59,0.479914278,6,0.01,tanh,mse,
60,0.481699526,6,0.01,tanh,mae,
61,0.378322035,5,0.001,relu,mse,
62,0.460820496,5,0.001,relu,mae,
63,0.53711307,5,0.001,sigmoid,mse,
64,0.482599616,5,0.001,sigmoid,mae,
65,0.535748363,5,0.001,tanh,mse,
66,0.470811754,5,0.001,tanh,mae,
67,0.445846558,5,0.01,relu,mse,
68,0.463527262,5,0.01,relu,mae,
69,0.536918521,5,0.01,sigmoid,mse,
70,0.479008019,5,0.01,sigmoid,mae,
71,0.535217464,5,0.01,tanh,mse,
72,0.48144567,5,0.01,tanh,mae,
73,0.37642619,4,0.001,relu,mse,
75,0.557643652,4,0.001,sigmoid,mse,
76,0.476648748,4,0.001,sigmoid,mae,
77,0.55758673,4,0.001,tanh,mse,
78,0.484198987,4,0.001,tanh,mae,
79,0.378197819,4,0.01,relu,mse,
81,0.557758927,4,0.01,sigmoid,mse,
82,0.473795056,4,0.01,sigmoid,mae,
83,0.555660188,4,0.01,tanh,mse,
84,0.486454606,4,0.01,tanh,mae,
85,0.768525362,3,0.001,relu,mse,
86,0.47321111,3,0.001,relu,mae,
87,0.584798217,3,0.001,sigmoid,mse,
88,0.485938936,3,0.001,sigmoid,mae,
89,0.584736884,3,0.001,tanh,mse,
90,0.485112429,3,0.001,tanh,mae,
91,0.383875042,3,0.01,relu,mse,
92,0.470458001,3,0.01,relu,mae,
93,0.584288299,3,0.01,sigmoid,mse,
94,0.479558498,3,0.01,sigmoid,mae,
95,0.587018132,3,0.01,tanh,mse,
96,0.485060096,3,0.01,tanh,mae,
97,0.451876193,2,0.001,relu,mse,
98,0.495729208,2,0.001,relu,mae,
99,0.62316829,2,0.001,sigmoid,mse,
100,0.487992823,2,0.001,sigmoid,mae,
101,0.618732452,2,0.001,tanh,mse,
102,0.489290476,2,0.001,tanh,mae,
103,0.445759684,2,0.01,relu,mse,
104,0.473340452,2,0.01,relu,mae,
105,0.623599529,2,0.01,sigmoid,mse,
106,0.489181876,2,0.01,sigmoid,mae,
107,0.621758342,2,0.01,tanh,mse,
108,0.486871541,2,0.01,tanh,mae,
109,0.768525302,1,0.001,relu,mse,
110,0.494971812,1,0.001,relu,mae,
111,0.675509036,1,0.001,sigmoid,mse,
112,0.491384387,1,0.001,sigmoid,mae,
113,0.675021231,1,0.001,tanh,mse,
114,0.493632168,1,0.001,tanh,mae,
115,0.439094692,1,0.01,relu,mse,
116,0.475283653,1,0.01,relu,mae,
117,0.675369799,1,0.01,sigmoid,mse,
118,0.491308928,1,0.01,sigmoid,mae,
119,0.680848837,1,0.01,tanh,mse,
120,0.493639708,1,0.01,tanh,mae,
